"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
56052-001,Institutional and Strategic Research for Conservation and Restoration of Freshwater Ecosystem in Qinling National Park,"China, People's Republic of",Sovereign,Technical Assistance,Active,10015,07/12/2022,12/7/2022,"300,000.00","Nation-wide, Qinling National Botanical Garden","Agriculture, natural resources and rural development",Water-based natural resources management,,,,Sectors Group,Shaanxi Provincial Financial Department,"Niu, Zhiming",,,
56194-001,Supporting Climate Resilience and Ecological Sustainability Projects,"China, People's Republic of",Sovereign,Technical Assistance,Active,10018,07/12/2022,12/7/2022,"3,300,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance",Land-based natural resources management | Finance sector development | Infrastructure finance and investment funds,,,,Sectors Group,Asian Development Bank,"Huang, Anqian",,,
42524-012,Road Database Development Using Geographic Information System,Mongolia,Sovereign,Technical Assistance,Closed,7297,09/06/2009,6/9/2009,0,,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,"Ministry of Roads, Transportation, Construction and Urban Development","Veron-Okamoto, Adrien",,,
42524-012,Road Database Development Using Geographic Information System,Mongolia,Sovereign,Technical Assistance,Closed,7297,09/06/2009,6/9/2009,0,,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,"Ministry of Roads, Transportation, Construction and Urban Development","Veron-Okamoto, Adrien",,,
42524-012,Road Database Development Using Geographic Information System,Mongolia,Sovereign,Technical Assistance,Closed,7297,09/06/2009,6/9/2009,0,,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,"Ministry of Roads, Transportation, Construction and Urban Development","Veron-Okamoto, Adrien",,,
42524-012,Road Database Development Using Geographic Information System,Mongolia,Sovereign,Technical Assistance,Closed,7297,09/06/2009,6/9/2009,0,,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,"Ministry of Roads, Transportation, Construction and Urban Development","Veron-Okamoto, Adrien",,,
42524-012,Road Database Development Using Geographic Information System,Mongolia,Sovereign,Technical Assistance,Closed,7297,09/06/2009,6/9/2009,0,,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,"Ministry of Roads, Transportation, Construction and Urban Development","Veron-Okamoto, Adrien",,,
42524-012,Road Database Development Using Geographic Information System,Mongolia,Sovereign,Technical Assistance,Closed,7297,09/06/2009,6/9/2009,0,,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,"Ministry of Roads, Transportation, Construction and Urban Development","Veron-Okamoto, Adrien",,,
43385-022,Empowering the Poor through Increasing Access to Energy,Regional,Sovereign,Technical Assistance,Closed,7512,09/04/2010,4/9/2010,"750,000.00",Regional,"Agriculture, natural resources and rural development | Energy | Finance",Land-based natural resources management | Renewable energy generation - small hydro | Renewable energy generation - solar | Renewable energy generation - wind | Inclusive finance,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Zhai, Yongping",,,
43385-022,Empowering the Poor through Increasing Access to Energy,Regional,Sovereign,Technical Assistance,Closed,7512,09/04/2010,4/9/2010,"750,000.00",Regional,"Agriculture, natural resources and rural development | Energy | Finance",Land-based natural resources management | Renewable energy generation - small hydro | Renewable energy generation - solar | Renewable energy generation - wind | Inclusive finance,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Zhai, Yongping",,,
43385-022,Empowering the Poor through Increasing Access to Energy,Regional,Sovereign,Technical Assistance,Closed,7512,09/04/2010,4/9/2010,"750,000.00",Regional,"Agriculture, natural resources and rural development | Energy | Finance",Land-based natural resources management | Renewable energy generation - small hydro | Renewable energy generation - solar | Renewable energy generation - wind | Inclusive finance,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Zhai, Yongping",,,
43385-022,Empowering the Poor through Increasing Access to Energy,Regional,Sovereign,Technical Assistance,Closed,7512,09/04/2010,4/9/2010,"750,000.00",Regional,"Agriculture, natural resources and rural development | Energy | Finance",Land-based natural resources management | Renewable energy generation - small hydro | Renewable energy generation - solar | Renewable energy generation - wind | Inclusive finance,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Zhai, Yongping",,,
43385-022,Empowering the Poor through Increasing Access to Energy,Regional,Sovereign,Technical Assistance,Closed,7512,09/04/2010,4/9/2010,"750,000.00",Regional,"Agriculture, natural resources and rural development | Energy | Finance",Land-based natural resources management | Renewable energy generation - small hydro | Renewable energy generation - solar | Renewable energy generation - wind | Inclusive finance,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Zhai, Yongping",,,
43385-022,Empowering the Poor through Increasing Access to Energy,Regional,Sovereign,Technical Assistance,Closed,7512,09/04/2010,4/9/2010,"750,000.00",Regional,"Agriculture, natural resources and rural development | Energy | Finance",Land-based natural resources management | Renewable energy generation - small hydro | Renewable energy generation - solar | Renewable energy generation - wind | Inclusive finance,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Zhai, Yongping",,,
36601-023,North East Community Restoration and Development Project II - Supplementary,Sri Lanka,Sovereign,Loan,Closed,2618,09/03/2010,3/9/2010,"12,773,000.00","Ampara District, Batticaloa District, Jaffna District, Kilinochchi District, Mannar District, Mullaitivu District, Trincomalee District, Vavuniya District","Agriculture, natural resources and rural development | Education | Health | Public sector management | Transport | Water and other urban infrastructure and services",Agricultural production | Irrigation | Livestock | Pre-primary and primary | Technical and vocational education and training | Mother and child health care | Public administration | Road transport (non-urban) | Renovation and protection of cultural heritage,B,C,C,South Asia Department,Ministry of Economic Development,Nissanka Salgado,,,
36601-023,North East Community Restoration and Development Project II - Supplementary,Sri Lanka,Sovereign,Loan,Closed,2618,09/03/2010,3/9/2010,"12,773,000.00","Ampara District, Batticaloa District, Jaffna District, Kilinochchi District, Mannar District, Mullaitivu District, Trincomalee District, Vavuniya District","Agriculture, natural resources and rural development | Education | Health | Public sector management | Transport | Water and other urban infrastructure and services",Agricultural production | Irrigation | Livestock | Pre-primary and primary | Technical and vocational education and training | Mother and child health care | Public administration | Road transport (non-urban) | Renovation and protection of cultural heritage,B,C,C,South Asia Department,Ministry of Economic Development,Nissanka Salgado,,,
36601-023,North East Community Restoration and Development Project II - Supplementary,Sri Lanka,Sovereign,Loan,Closed,2618,09/03/2010,3/9/2010,"12,773,000.00","Ampara District, Batticaloa District, Jaffna District, Kilinochchi District, Mannar District, Mullaitivu District, Trincomalee District, Vavuniya District","Agriculture, natural resources and rural development | Education | Health | Public sector management | Transport | Water and other urban infrastructure and services",Agricultural production | Irrigation | Livestock | Pre-primary and primary | Technical and vocational education and training | Mother and child health care | Public administration | Road transport (non-urban) | Renovation and protection of cultural heritage,B,C,C,South Asia Department,Ministry of Economic Development,Nissanka Salgado,,,
36601-023,North East Community Restoration and Development Project II - Supplementary,Sri Lanka,Sovereign,Loan,Closed,2618,09/03/2010,3/9/2010,"12,773,000.00","Ampara District, Batticaloa District, Jaffna District, Kilinochchi District, Mannar District, Mullaitivu District, Trincomalee District, Vavuniya District","Agriculture, natural resources and rural development | Education | Health | Public sector management | Transport | Water and other urban infrastructure and services",Agricultural production | Irrigation | Livestock | Pre-primary and primary | Technical and vocational education and training | Mother and child health care | Public administration | Road transport (non-urban) | Renovation and protection of cultural heritage,B,C,C,South Asia Department,Ministry of Economic Development,Nissanka Salgado,,,
36601-023,North East Community Restoration and Development Project II - Supplementary,Sri Lanka,Sovereign,Loan,Closed,2618,09/03/2010,3/9/2010,"12,773,000.00","Ampara District, Batticaloa District, Jaffna District, Kilinochchi District, Mannar District, Mullaitivu District, Trincomalee District, Vavuniya District","Agriculture, natural resources and rural development | Education | Health | Public sector management | Transport | Water and other urban infrastructure and services",Agricultural production | Irrigation | Livestock | Pre-primary and primary | Technical and vocational education and training | Mother and child health care | Public administration | Road transport (non-urban) | Renovation and protection of cultural heritage,B,C,C,South Asia Department,Ministry of Economic Development,Nissanka Salgado,,,
36601-023,North East Community Restoration and Development Project II - Supplementary,Sri Lanka,Sovereign,Loan,Closed,2618,09/03/2010,3/9/2010,"12,773,000.00","Ampara District, Batticaloa District, Jaffna District, Kilinochchi District, Mannar District, Mullaitivu District, Trincomalee District, Vavuniya District","Agriculture, natural resources and rural development | Education | Health | Public sector management | Transport | Water and other urban infrastructure and services",Agricultural production | Irrigation | Livestock | Pre-primary and primary | Technical and vocational education and training | Mother and child health care | Public administration | Road transport (non-urban) | Renovation and protection of cultural heritage,B,C,C,South Asia Department,Ministry of Economic Development,Nissanka Salgado,,,
56269-001,Supporting Innovative Knowledge Solutions in South Asia,Regional,Sovereign,Technical Assistance,Active,10019,08/12/2022,12/8/2022,"1,375,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,"Agriculture, natural resources and rural development | Energy | Finance | Information and communication technology | Transport","Agricultural policy, institutional and capacity development | Energy efficiency and conservation | Small and medium enterprise finance and leasing | ICT strategy and policy, and capacity development | Multimodal logistics",,,,South Asia Department,Asian Development Bank,"Sarfati, Cecile H.",,,
56269-001,Supporting Innovative Knowledge Solutions in South Asia,Regional,Sovereign,Technical Assistance,Active,10019,08/12/2022,12/8/2022,"1,375,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,"Agriculture, natural resources and rural development | Energy | Finance | Information and communication technology | Transport","Agricultural policy, institutional and capacity development | Energy efficiency and conservation | Small and medium enterprise finance and leasing | ICT strategy and policy, and capacity development | Multimodal logistics",,,,South Asia Department,Asian Development Bank,"Sarfati, Cecile H.",,,
56269-001,Supporting Innovative Knowledge Solutions in South Asia,Regional,Sovereign,Technical Assistance,Active,10019,08/12/2022,12/8/2022,"1,375,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,"Agriculture, natural resources and rural development | Energy | Finance | Information and communication technology | Transport","Agricultural policy, institutional and capacity development | Energy efficiency and conservation | Small and medium enterprise finance and leasing | ICT strategy and policy, and capacity development | Multimodal logistics",,,,South Asia Department,Asian Development Bank,"Sarfati, Cecile H.",,,
56269-001,Supporting Innovative Knowledge Solutions in South Asia,Regional,Sovereign,Technical Assistance,Active,10019,08/12/2022,12/8/2022,"1,375,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,"Agriculture, natural resources and rural development | Energy | Finance | Information and communication technology | Transport","Agricultural policy, institutional and capacity development | Energy efficiency and conservation | Small and medium enterprise finance and leasing | ICT strategy and policy, and capacity development | Multimodal logistics",,,,South Asia Department,Asian Development Bank,"Sarfati, Cecile H.",,,
56269-001,Supporting Innovative Knowledge Solutions in South Asia,Regional,Sovereign,Technical Assistance,Active,10019,08/12/2022,12/8/2022,"1,375,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,"Agriculture, natural resources and rural development | Energy | Finance | Information and communication technology | Transport","Agricultural policy, institutional and capacity development | Energy efficiency and conservation | Small and medium enterprise finance and leasing | ICT strategy and policy, and capacity development | Multimodal logistics",,,,South Asia Department,Asian Development Bank,"Sarfati, Cecile H.",,,
56269-001,Supporting Innovative Knowledge Solutions in South Asia,Regional,Sovereign,Technical Assistance,Active,10019,08/12/2022,12/8/2022,"1,375,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,"Agriculture, natural resources and rural development | Energy | Finance | Information and communication technology | Transport","Agricultural policy, institutional and capacity development | Energy efficiency and conservation | Small and medium enterprise finance and leasing | ICT strategy and policy, and capacity development | Multimodal logistics",,,,South Asia Department,Asian Development Bank,"Sarfati, Cecile H.",,,
55006-001,Innovating Eco-Compensation Mechanisms in Yangtze River Basin,"China, People's Republic of",Sovereign,Technical Assistance,Active,10033,09/12/2022,12/9/2022,0,Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Land-based natural resources management | Rural water policy, institutional and capacity development | Water-based natural resources management",,,,Sectors Group,National Development and Reform Commission,"Cardascia, Silvia",,,
56056-001,Guangdong Rural Green Development Evaluation Indicators and Policy Integration Study,"China, People's Republic of",Sovereign,Technical Assistance,Active,10028,09/12/2022,12/9/2022,"300,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development",,,,Sectors Group,Department of Agriculture and Rural Affairs of Guangdong Province,"Fan, Mingyuan",,,
55006-001,Innovating Eco-Compensation Mechanisms in Yangtze River Basin,"China, People's Republic of",Sovereign,Technical Assistance,Active,10033,09/12/2022,12/9/2022,0,Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Land-based natural resources management | Rural water policy, institutional and capacity development | Water-based natural resources management",,,,Sectors Group,National Development and Reform Commission,"Cardascia, Silvia",,,
56056-001,Guangdong Rural Green Development Evaluation Indicators and Policy Integration Study,"China, People's Republic of",Sovereign,Technical Assistance,Active,10028,09/12/2022,12/9/2022,"300,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development",,,,Sectors Group,Department of Agriculture and Rural Affairs of Guangdong Province,"Fan, Mingyuan",,,
55006-001,Innovating Eco-Compensation Mechanisms in Yangtze River Basin,"China, People's Republic of",Sovereign,Technical Assistance,Active,10033,09/12/2022,12/9/2022,0,Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Land-based natural resources management | Rural water policy, institutional and capacity development | Water-based natural resources management",,,,Sectors Group,National Development and Reform Commission,"Cardascia, Silvia",,,
56056-001,Guangdong Rural Green Development Evaluation Indicators and Policy Integration Study,"China, People's Republic of",Sovereign,Technical Assistance,Active,10028,09/12/2022,12/9/2022,"300,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development",,,,Sectors Group,Department of Agriculture and Rural Affairs of Guangdong Province,"Fan, Mingyuan",,,
55006-001,Innovating Eco-Compensation Mechanisms in Yangtze River Basin,"China, People's Republic of",Sovereign,Technical Assistance,Active,10033,09/12/2022,12/9/2022,0,Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Land-based natural resources management | Rural water policy, institutional and capacity development | Water-based natural resources management",,,,Sectors Group,National Development and Reform Commission,"Cardascia, Silvia",,,
56056-001,Guangdong Rural Green Development Evaluation Indicators and Policy Integration Study,"China, People's Republic of",Sovereign,Technical Assistance,Active,10028,09/12/2022,12/9/2022,"300,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development",,,,Sectors Group,Department of Agriculture and Rural Affairs of Guangdong Province,"Fan, Mingyuan",,,
55006-001,Innovating Eco-Compensation Mechanisms in Yangtze River Basin,"China, People's Republic of",Sovereign,Technical Assistance,Active,10033,09/12/2022,12/9/2022,0,Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Land-based natural resources management | Rural water policy, institutional and capacity development | Water-based natural resources management",,,,Sectors Group,National Development and Reform Commission,"Cardascia, Silvia",,,
56056-001,Guangdong Rural Green Development Evaluation Indicators and Policy Integration Study,"China, People's Republic of",Sovereign,Technical Assistance,Active,10028,09/12/2022,12/9/2022,"300,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development",,,,Sectors Group,Department of Agriculture and Rural Affairs of Guangdong Province,"Fan, Mingyuan",,,
55006-001,Innovating Eco-Compensation Mechanisms in Yangtze River Basin,"China, People's Republic of",Sovereign,Technical Assistance,Active,10033,09/12/2022,12/9/2022,0,Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Land-based natural resources management | Rural water policy, institutional and capacity development | Water-based natural resources management",,,,Sectors Group,National Development and Reform Commission,"Cardascia, Silvia",,,
56056-001,Guangdong Rural Green Development Evaluation Indicators and Policy Integration Study,"China, People's Republic of",Sovereign,Technical Assistance,Active,10028,09/12/2022,12/9/2022,"300,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development",,,,Sectors Group,Department of Agriculture and Rural Affairs of Guangdong Province,"Fan, Mingyuan",,,
53240-003,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,Cambodia,Sovereign,Grant | Loan,Active,0872 | 0873 | 0942 | 4280 | 8433,12/12/2022,12/12/2022,"62,900,000.00",Nation-wide,"Agriculture, natural resources and rural development",Livestock,B,B,B,Sectors Group,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou",,,
52201-001,Civil Aviation Development Investment Project II,Papua New Guinea,Sovereign,Loan,Active,4276 | 4277,12/12/2022,12/12/2022,"162,900,000.00","Nation-wide, Jacksons International Airport, Port Moresby","Agriculture, natural resources and rural development | Transport",Rural market infrastructure | Air transport,B,C,B,Sectors Group,National Airports Corporation,"Khpalwan, Bashirullah",,,
56312-001,Emergency Flood Assistance Project,Pakistan,Sovereign,Grant | Loan | Technical Assistance,Active,10036 | 4279 | 9234,12/12/2022,12/12/2022,"478,050,000.00","Balochistan, Khyber Pakhtunkhwa, Sindh","Agriculture, natural resources and rural development | Transport",Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Road transport (non-urban),B,C,B,Sectors Group,Agriculture and Cooperatives Department Balochistan,"Shafi, Mian S.",,,
42173-017,Water Flagship Program Support Project,Bhutan,Sovereign,Grant | Loan,Active,0874 | 4281 | 9233,12/12/2022,12/12/2022,"20,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Irrigation | Rural water supply services | Urban water supply,B,C,B,Sectors Group,Department of Infrastructure Development,"Majumder, Sourav",,,
53240-003,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,Cambodia,Sovereign,Grant | Loan,Active,0872 | 0873 | 0942 | 4280 | 8433,12/12/2022,12/12/2022,"62,900,000.00",Nation-wide,"Agriculture, natural resources and rural development",Livestock,B,B,B,Sectors Group,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou",,,
52201-001,Civil Aviation Development Investment Project II,Papua New Guinea,Sovereign,Loan,Active,4276 | 4277,12/12/2022,12/12/2022,"162,900,000.00","Nation-wide, Jacksons International Airport, Port Moresby","Agriculture, natural resources and rural development | Transport",Rural market infrastructure | Air transport,B,C,B,Sectors Group,National Airports Corporation,"Khpalwan, Bashirullah",,,
56312-001,Emergency Flood Assistance Project,Pakistan,Sovereign,Grant | Loan | Technical Assistance,Active,10036 | 4279 | 9234,12/12/2022,12/12/2022,"478,050,000.00","Balochistan, Khyber Pakhtunkhwa, Sindh","Agriculture, natural resources and rural development | Transport",Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Road transport (non-urban),B,C,B,Sectors Group,Agriculture and Cooperatives Department Balochistan,"Shafi, Mian S.",,,
42173-017,Water Flagship Program Support Project,Bhutan,Sovereign,Grant | Loan,Active,0874 | 4281 | 9233,12/12/2022,12/12/2022,"20,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Irrigation | Rural water supply services | Urban water supply,B,C,B,Sectors Group,Department of Infrastructure Development,"Majumder, Sourav",,,
53240-003,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,Cambodia,Sovereign,Grant | Loan,Active,0872 | 0873 | 0942 | 4280 | 8433,12/12/2022,12/12/2022,"62,900,000.00",Nation-wide,"Agriculture, natural resources and rural development",Livestock,B,B,B,Sectors Group,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou",,,
52201-001,Civil Aviation Development Investment Project II,Papua New Guinea,Sovereign,Loan,Active,4276 | 4277,12/12/2022,12/12/2022,"162,900,000.00","Nation-wide, Jacksons International Airport, Port Moresby","Agriculture, natural resources and rural development | Transport",Rural market infrastructure | Air transport,B,C,B,Sectors Group,National Airports Corporation,"Khpalwan, Bashirullah",,,
56312-001,Emergency Flood Assistance Project,Pakistan,Sovereign,Grant | Loan | Technical Assistance,Active,10036 | 4279 | 9234,12/12/2022,12/12/2022,"478,050,000.00","Balochistan, Khyber Pakhtunkhwa, Sindh","Agriculture, natural resources and rural development | Transport",Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Road transport (non-urban),B,C,B,Sectors Group,Agriculture and Cooperatives Department Balochistan,"Shafi, Mian S.",,,
42173-017,Water Flagship Program Support Project,Bhutan,Sovereign,Grant | Loan,Active,0874 | 4281 | 9233,12/12/2022,12/12/2022,"20,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Irrigation | Rural water supply services | Urban water supply,B,C,B,Sectors Group,Department of Infrastructure Development,"Majumder, Sourav",,,
53240-003,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,Cambodia,Sovereign,Grant | Loan,Active,0872 | 0873 | 0942 | 4280 | 8433,12/12/2022,12/12/2022,"62,900,000.00",Nation-wide,"Agriculture, natural resources and rural development",Livestock,B,B,B,Sectors Group,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou",,,
52201-001,Civil Aviation Development Investment Project II,Papua New Guinea,Sovereign,Loan,Active,4276 | 4277,12/12/2022,12/12/2022,"162,900,000.00","Nation-wide, Jacksons International Airport, Port Moresby","Agriculture, natural resources and rural development | Transport",Rural market infrastructure | Air transport,B,C,B,Sectors Group,National Airports Corporation,"Khpalwan, Bashirullah",,,
56312-001,Emergency Flood Assistance Project,Pakistan,Sovereign,Grant | Loan | Technical Assistance,Active,10036 | 4279 | 9234,12/12/2022,12/12/2022,"478,050,000.00","Balochistan, Khyber Pakhtunkhwa, Sindh","Agriculture, natural resources and rural development | Transport",Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Road transport (non-urban),B,C,B,Sectors Group,Agriculture and Cooperatives Department Balochistan,"Shafi, Mian S.",,,
42173-017,Water Flagship Program Support Project,Bhutan,Sovereign,Grant | Loan,Active,0874 | 4281 | 9233,12/12/2022,12/12/2022,"20,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Irrigation | Rural water supply services | Urban water supply,B,C,B,Sectors Group,Department of Infrastructure Development,"Majumder, Sourav",,,
53240-003,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,Cambodia,Sovereign,Grant | Loan,Active,0872 | 0873 | 0942 | 4280 | 8433,12/12/2022,12/12/2022,"62,900,000.00",Nation-wide,"Agriculture, natural resources and rural development",Livestock,B,B,B,Sectors Group,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou",,,
52201-001,Civil Aviation Development Investment Project II,Papua New Guinea,Sovereign,Loan,Active,4276 | 4277,12/12/2022,12/12/2022,"162,900,000.00","Nation-wide, Jacksons International Airport, Port Moresby","Agriculture, natural resources and rural development | Transport",Rural market infrastructure | Air transport,B,C,B,Sectors Group,National Airports Corporation,"Khpalwan, Bashirullah",,,
56312-001,Emergency Flood Assistance Project,Pakistan,Sovereign,Grant | Loan | Technical Assistance,Active,10036 | 4279 | 9234,12/12/2022,12/12/2022,"478,050,000.00","Balochistan, Khyber Pakhtunkhwa, Sindh","Agriculture, natural resources and rural development | Transport",Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Road transport (non-urban),B,C,B,Sectors Group,Agriculture and Cooperatives Department Balochistan,"Shafi, Mian S.",,,
42173-017,Water Flagship Program Support Project,Bhutan,Sovereign,Grant | Loan,Active,0874 | 4281 | 9233,12/12/2022,12/12/2022,"20,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Irrigation | Rural water supply services | Urban water supply,B,C,B,Sectors Group,Department of Infrastructure Development,"Majumder, Sourav",,,
53240-003,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,Cambodia,Sovereign,Grant | Loan,Active,0872 | 0873 | 0942 | 4280 | 8433,12/12/2022,12/12/2022,"62,900,000.00",Nation-wide,"Agriculture, natural resources and rural development",Livestock,B,B,B,Sectors Group,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou",,,
52201-001,Civil Aviation Development Investment Project II,Papua New Guinea,Sovereign,Loan,Active,4276 | 4277,12/12/2022,12/12/2022,"162,900,000.00","Nation-wide, Jacksons International Airport, Port Moresby","Agriculture, natural resources and rural development | Transport",Rural market infrastructure | Air transport,B,C,B,Sectors Group,National Airports Corporation,"Khpalwan, Bashirullah",,,
56312-001,Emergency Flood Assistance Project,Pakistan,Sovereign,Grant | Loan | Technical Assistance,Active,10036 | 4279 | 9234,12/12/2022,12/12/2022,"478,050,000.00","Balochistan, Khyber Pakhtunkhwa, Sindh","Agriculture, natural resources and rural development | Transport",Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Road transport (non-urban),B,C,B,Sectors Group,Agriculture and Cooperatives Department Balochistan,"Shafi, Mian S.",,,
42173-017,Water Flagship Program Support Project,Bhutan,Sovereign,Grant | Loan,Active,0874 | 4281 | 9233,12/12/2022,12/12/2022,"20,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Irrigation | Rural water supply services | Urban water supply,B,C,B,Sectors Group,Department of Infrastructure Development,"Majumder, Sourav",,,
48242-004,Knowledge for Solutions - South-South Knowledge Sharing Program (Subproject 2),Regional,Sovereign,Technical Assistance,Closed,8831,08/12/2014,12/8/2014,"410,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kang, Young Uck",,,
48242-004,Knowledge for Solutions - South-South Knowledge Sharing Program (Subproject 2),Regional,Sovereign,Technical Assistance,Closed,8831,08/12/2014,12/8/2014,"410,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kang, Young Uck",,,
48242-004,Knowledge for Solutions - South-South Knowledge Sharing Program (Subproject 2),Regional,Sovereign,Technical Assistance,Closed,8831,08/12/2014,12/8/2014,"410,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kang, Young Uck",,,
48242-004,Knowledge for Solutions - South-South Knowledge Sharing Program (Subproject 2),Regional,Sovereign,Technical Assistance,Closed,8831,08/12/2014,12/8/2014,"410,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kang, Young Uck",,,
