"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
43448-013,Bagmati River Basin Improvement Project,Nepal,Sovereign,Grant | Loan | Technical Assistance,Active,0367 | 3057 | 3816 | 8500 | 9803,31/10/2013,10/31/2013,"94,100,000.00","Bagmati River, Bagmati Zone, Bishnumati Khola, Kathmandu Valley, Kathmandu Valley, Nagmati Khola, Shivapuri, Sundarijal","Agriculture, natural resources and rural development",Rural flood protection | Water-based natural resources management,A,C,C,Sectors Group,Ministry of Urban Development,"Rana, Arun S.",,,
43448-013,Bagmati River Basin Improvement Project,Nepal,Sovereign,Grant | Loan | Technical Assistance,Active,0367 | 3057 | 3816 | 8500 | 9803,31/10/2013,10/31/2013,"94,100,000.00","Bagmati River, Bagmati Zone, Bishnumati Khola, Kathmandu Valley, Kathmandu Valley, Nagmati Khola, Shivapuri, Sundarijal","Agriculture, natural resources and rural development",Rural flood protection | Water-based natural resources management,A,C,C,Sectors Group,Ministry of Urban Development,"Rana, Arun S.",,,
43448-013,Bagmati River Basin Improvement Project,Nepal,Sovereign,Grant | Loan | Technical Assistance,Active,0367 | 3057 | 3816 | 8500 | 9803,31/10/2013,10/31/2013,"94,100,000.00","Bagmati River, Bagmati Zone, Bishnumati Khola, Kathmandu Valley, Kathmandu Valley, Nagmati Khola, Shivapuri, Sundarijal","Agriculture, natural resources and rural development",Rural flood protection | Water-based natural resources management,A,C,C,Sectors Group,Ministry of Urban Development,"Rana, Arun S.",,,
43448-013,Bagmati River Basin Improvement Project,Nepal,Sovereign,Grant | Loan | Technical Assistance,Active,0367 | 3057 | 3816 | 8500 | 9803,31/10/2013,10/31/2013,"94,100,000.00","Bagmati River, Bagmati Zone, Bishnumati Khola, Kathmandu Valley, Kathmandu Valley, Nagmati Khola, Shivapuri, Sundarijal","Agriculture, natural resources and rural development",Rural flood protection | Water-based natural resources management,A,C,C,Sectors Group,Ministry of Urban Development,"Rana, Arun S.",,,
34379-012,Northwest Irrigation Sector Project,Cambodia,Sovereign,Technical Assistance,Closed,3758,31/10/2001,10/31/2001,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation,B,,,Southeast Asia Department,Ministry of Water Resources and Meteorology,"Goffeau, Alain",,,
34379-012,Northwest Irrigation Sector Project,Cambodia,Sovereign,Technical Assistance,Closed,3758,31/10/2001,10/31/2001,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation,B,,,Southeast Asia Department,Ministry of Water Resources and Meteorology,"Goffeau, Alain",,,
34379-012,Northwest Irrigation Sector Project,Cambodia,Sovereign,Technical Assistance,Closed,3758,31/10/2001,10/31/2001,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation,B,,,Southeast Asia Department,Ministry of Water Resources and Meteorology,"Goffeau, Alain",,,
34379-012,Northwest Irrigation Sector Project,Cambodia,Sovereign,Technical Assistance,Closed,3758,31/10/2001,10/31/2001,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation,B,,,Southeast Asia Department,Ministry of Water Resources and Meteorology,"Goffeau, Alain",,,
34379-012,Northwest Irrigation Sector Project,Cambodia,Sovereign,Technical Assistance,Closed,3758,31/10/2001,10/31/2001,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation,B,,,Southeast Asia Department,Ministry of Water Resources and Meteorology,"Goffeau, Alain",,,
30552-013,Infrastructure for Rural Productivity Enhancement Sector Project,Philippines,Sovereign,Loan,Closed,1772,31/10/2000,10/31/2000,"75,000,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",B,,,Southeast Asia Department,Dept. of Agriculture (Office of the Secretary),"Bui, Giap Minh",,,
30552-013,Infrastructure for Rural Productivity Enhancement Sector Project,Philippines,Sovereign,Loan,Closed,1772,31/10/2000,10/31/2000,"75,000,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",B,,,Southeast Asia Department,Dept. of Agriculture (Office of the Secretary),"Bui, Giap Minh",,,
30552-013,Infrastructure for Rural Productivity Enhancement Sector Project,Philippines,Sovereign,Loan,Closed,1772,31/10/2000,10/31/2000,"75,000,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",B,,,Southeast Asia Department,Dept. of Agriculture (Office of the Secretary),"Bui, Giap Minh",,,
30552-013,Infrastructure for Rural Productivity Enhancement Sector Project,Philippines,Sovereign,Loan,Closed,1772,31/10/2000,10/31/2000,"75,000,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",B,,,Southeast Asia Department,Dept. of Agriculture (Office of the Secretary),"Bui, Giap Minh",,,
